created_on,source,industry
2017-01-14,Social,SaaS
2017-01-14,Organic,Finance
2017-01-14,Organic,Health Care
2017-01-14,Direct,Health Care
2017-01-14,Social,SaaS
2017-01-14,Organic,Finance
2017-01-14,Organic,Telecom
2017-01-14,Direct,IT
2017-01-14,Paid,Health Care
2017-01-14,Email,Telecom
2017-01-14,Email,Finance
2017-01-14,Organic,Health Care
2017-01-15,Paid,SaaS
2017-01-15,Referral,Finance
2017-01-15,Social,Telecom
2017-01-15,Referral,SaaS
2017-01-15,Direct,Finance
2017-01-15,Direct,Telecom
2017-01-15,Paid,SaaS
2017-01-15,Paid,IT
2017-01-15,Paid,Finance
2017-01-15,Social,SaaS
2017-01-15,Referral,IT
2017-01-15,Email,IT
2017-01-15,Paid,SaaS
2017-01-15,Email,Finance
2017-01-15,Direct,IT
2017-01-16,Paid,Education
2017-01-16,Email,SaaS
2017-01-16,Email,IT
2017-01-16,Social,Health Care
2017-01-16,Email,Telecom
2017-01-16,Email,Health Care
2017-01-16,Referral,Telecom
2017-01-16,Referral,SaaS
2017-01-16,Direct,Telecom
2017-01-16,Social,Retail/Entertainment
2017-01-16,Direct,Health Care
2017-01-16,Paid,Telecom
2017-01-16,Email,Retail/Entertainment
2017-01-16,Referral,Education
2017-01-16,Direct,IT
2017-01-16,Social,IT
2017-01-16,Email,Health Care
2017-01-16,Direct,Education
2017-01-16,Email,SaaS
2017-01-16,Social,Health Care
2017-01-16,Referral,Finance
2017-01-16,Paid,Health Care
2017-01-16,Organic,Retail/Entertainment
2017-01-16,Referral,IT
2017-01-16,Email,SaaS
2017-01-16,Organic,SaaS
2017-01-16,Organic,SaaS
2017-01-16,Paid,Finance
2017-01-16,Direct,Telecom
2017-01-16,Organic,Education
2017-01-16,Referral,Education
2017-01-16,Paid,Telecom
2017-01-16,Organic,Finance
2017-01-16,Paid,Retail/Entertainment
2017-01-16,Organic,Finance
2017-01-16,Referral,Finance
2017-01-16,Email,Retail/Entertainment
2017-01-16,Organic,Telecom
2017-01-16,Referral,Finance
2017-01-16,Direct,Telecom
2017-01-16,Email,IT
2017-01-16,Paid,Health Care
2017-01-17,Email,Telecom
2017-01-17,Paid,Finance
2017-01-17,Paid,Health Care
2017-01-17,Direct,Health Care
2017-01-17,Direct,SaaS
2017-01-17,Social,Finance
2017-01-17,Email,Finance
2017-01-17,Social,IT
2017-01-17,Email,IT
2017-01-17,Referral,Education
2017-01-17,Referral,IT
2017-01-17,Referral,Health Care
2017-01-17,Direct,Telecom
2017-01-17,Referral,Telecom
2017-01-17,Social,SaaS
2017-01-17,Paid,SaaS
2017-01-17,Social,Telecom
2017-01-17,Referral,Health Care
2017-01-17,Email,Telecom
2017-01-17,Paid,SaaS
2017-01-17,Referral,Retail/Entertainment
2017-01-17,Email,Telecom
2017-01-17,Paid,Telecom
2017-01-17,Paid,Finance
2017-01-17,Email,Finance
2017-01-18,Paid,Retail/Entertainment
2017-01-18,Paid,SaaS
2017-01-18,Direct,Telecom
2017-01-18,Email,Retail/Entertainment
2017-01-18,Direct,SaaS
2017-01-18,Paid,Telecom
2017-01-18,Referral,IT
2017-01-18,Paid,SaaS
2017-01-18,Social,SaaS
2017-01-18,Direct,Finance
2017-01-18,Referral,Health Care
2017-01-18,Direct,Retail/Entertainment
2017-01-18,Referral,Finance
2017-01-18,Paid,SaaS
2017-01-18,Direct,Telecom
2017-01-18,Social,Telecom
2017-01-18,Referral,Retail/Entertainment
2017-01-18,Referral,IT
2017-01-18,Social,Retail/Entertainment
2017-01-18,Referral,Health Care
2017-01-18,Direct,Finance
2017-01-18,Direct,SaaS
2017-01-18,Paid,Retail/Entertainment
2017-01-18,Paid,Finance
2017-01-18,Referral,Education
2017-01-19,Email,Retail/Entertainment
2017-01-19,Referral,Telecom
2017-01-19,Organic,Health Care
2017-01-19,Direct,SaaS
2017-01-19,Organic,Health Care
2017-01-19,Direct,SaaS
2017-01-19,Direct,Education
2017-01-19,Email,Telecom
2017-01-19,Paid,Finance
2017-01-19,Direct,SaaS
2017-01-19,Paid,Retail/Entertainment
2017-01-19,Email,SaaS
2017-01-19,Paid,Finance
2017-01-19,Referral,SaaS
2017-01-19,Paid,Education
2017-01-19,Direct,SaaS
2017-01-19,Paid,Health Care
2017-01-19,Direct,SaaS
2017-01-19,Referral,SaaS
2017-01-19,Direct,Health Care
2017-01-19,Paid,IT
2017-01-19,Direct,IT
2017-01-19,Organic,SaaS
2017-01-19,Email,SaaS
2017-01-19,Referral,Health Care
2017-01-19,Referral,SaaS
2017-01-20,Direct,Education
2017-01-20,Paid,SaaS
2017-01-20,Direct,Health Care
2017-01-20,Direct,IT
2017-01-20,Referral,Retail/Entertainment
2017-01-20,Social,Health Care
2017-01-20,Paid,Retail/Entertainment
2017-01-20,Paid,Finance
2017-01-20,Direct,SaaS
2017-01-20,Direct,SaaS
2017-01-20,Organic,Education
2017-01-20,Referral,SaaS
2017-01-20,Direct,Education
2017-01-20,Social,Retail/Entertainment
2017-01-20,Referral,SaaS
2017-01-20,Paid,Telecom
2017-01-21,Paid,Education
2017-01-21,Social,Health Care
2017-01-21,Paid,Retail/Entertainment
2017-01-21,Organic,SaaS
2017-01-21,Organic,SaaS
2017-01-21,Email,Health Care
2017-01-21,Email,IT
2017-01-21,Social,Education
2017-01-21,Referral,Finance
2017-01-21,Paid,SaaS
2017-01-21,Direct,Finance
2017-01-21,Paid,Finance
2017-01-21,Referral,Finance
2017-01-21,Social,Health Care
2017-01-21,Paid,Retail/Entertainment
2017-01-21,Organic,SaaS
2017-01-21,Organic,SaaS
2017-01-21,Organic,Finance
2017-01-21,Referral,Education
2017-01-21,Direct,SaaS
2017-01-21,Social,Education
2017-01-21,Social,Health Care
2017-01-21,Paid,Health Care
2017-01-21,Social,Education
2017-01-22,Social,Telecom
2017-01-22,Paid,Telecom
2017-01-22,Paid,Health Care
2017-01-22,Direct,Telecom
2017-01-22,Email,SaaS
2017-01-22,Paid,Health Care
2017-01-22,Referral,IT
2017-01-22,Organic,SaaS
2017-01-22,Social,Telecom
2017-01-22,Paid,Education
2017-01-22,Email,Retail/Entertainment
2017-01-22,Organic,SaaS
2017-01-22,Organic,Retail/Entertainment
2017-01-22,Direct,Health Care
2017-01-22,Direct,Telecom
2017-01-22,Paid,Retail/Entertainment
2017-01-22,Direct,Retail/Entertainment
2017-01-22,Referral,Telecom
2017-01-22,Direct,Finance
2017-01-22,Email,Finance
2017-01-22,Paid,Finance
2017-01-22,Social,Telecom
2017-01-22,Referral,Finance
2017-01-22,Paid,Retail/Entertainment
2017-01-22,Email,SaaS
2017-01-22,Organic,Telecom
2017-01-22,Organic,Health Care
2017-01-22,Referral,Education
2017-01-22,Organic,Finance
2017-01-22,Paid,SaaS
2017-01-22,Paid,IT
2017-01-22,Paid,Retail/Entertainment
2017-01-22,Direct,Telecom
2017-01-22,Organic,Retail/Entertainment
2017-01-22,Organic,IT
2017-01-22,Direct,SaaS
2017-01-22,Paid,Retail/Entertainment
2017-01-22,Referral,SaaS
2017-01-22,Paid,SaaS
2017-01-22,Organic,Education
2017-01-23,Direct,SaaS
2017-01-23,Referral,SaaS
2017-01-23,Direct,SaaS
2017-01-23,Organic,Retail/Entertainment
2017-01-23,Email,IT
2017-01-23,Email,Retail/Entertainment
2017-01-23,Email,Retail/Entertainment
2017-01-23,Organic,Telecom
2017-01-23,Email,IT
2017-01-23,Referral,Finance
2017-01-23,Organic,Telecom
2017-01-23,Direct,SaaS
2017-01-23,Referral,SaaS
2017-01-23,Organic,Finance
2017-01-23,Organic,Telecom
2017-01-23,Email,Education
2017-01-23,Organic,Finance
2017-01-23,Organic,SaaS
2017-01-23,Email,Finance
2017-01-23,Organic,Finance
2017-01-23,Direct,IT
2017-01-23,Organic,SaaS
2017-01-23,Social,Health Care
2017-01-23,Referral,Education
2017-01-23,Email,Retail/Entertainment
2017-01-23,Referral,Telecom
2017-01-23,Referral,SaaS
2017-01-24,Paid,Retail/Entertainment
2017-01-24,Direct,IT
2017-01-24,Email,Finance
2017-01-24,Paid,Health Care
2017-01-24,Direct,Retail/Entertainment
2017-01-24,Referral,SaaS
2017-01-24,Paid,SaaS
2017-01-24,Social,Health Care
2017-01-24,Organic,IT
2017-01-24,Social,IT
2017-01-24,Referral,Telecom
2017-01-24,Organic,SaaS
2017-01-24,Paid,IT
2017-01-24,Referral,Health Care
2017-01-24,Paid,Finance
2017-01-24,Direct,SaaS
2017-01-24,Paid,Finance
2017-01-24,Direct,SaaS
2017-01-24,Social,Telecom
2017-01-24,Email,Education
2017-01-24,Paid,IT
2017-01-24,Social,Telecom
2017-01-24,Referral,SaaS
2017-01-24,Social,Finance
2017-01-24,Organic,SaaS
2017-01-24,Organic,Retail/Entertainment
2017-01-25,Paid,Finance
2017-01-25,Referral,Finance
2017-01-25,Email,Telecom
2017-01-25,Direct,IT
2017-01-25,Referral,SaaS
2017-01-25,Social,Retail/Entertainment
2017-01-25,Organic,Telecom
2017-01-25,Email,Telecom
2017-01-25,Direct,Finance
2017-01-25,Paid,SaaS
2017-01-25,Social,Telecom
2017-01-25,Social,Health Care
2017-01-25,Email,Finance
2017-01-25,Direct,Health Care
2017-01-25,Paid,Telecom
2017-01-25,Email,IT
2017-01-25,Email,IT
2017-01-25,Direct,IT
2017-01-25,Organic,SaaS
2017-01-25,Organic,Telecom
2017-01-25,Social,SaaS
2017-01-25,Direct,Retail/Entertainment
2017-01-25,Direct,Telecom
2017-01-25,Organic,SaaS
2017-01-25,Social,Telecom
2017-01-25,Referral,Finance
2017-01-25,Email,Education
2017-01-25,Social,SaaS
2017-01-25,Paid,Finance
2017-01-25,Social,SaaS
2017-01-25,Email,IT
2017-01-25,Referral,IT
2017-01-25,Paid,Finance
2017-01-26,Email,Health Care
2017-01-26,Organic,SaaS
2017-01-26,Social,Education
2017-01-26,Direct,Telecom
2017-01-26,Paid,Finance
2017-01-26,Social,Telecom
2017-01-26,Referral,Finance
2017-01-26,Organic,IT
2017-01-26,Social,Retail/Entertainment
2017-01-26,Referral,Finance
2017-01-26,Paid,Health Care
2017-01-26,Paid,SaaS
2017-01-26,Paid,SaaS
2017-01-26,Email,Education
2017-01-26,Organic,Health Care
2017-01-26,Social,SaaS
2017-01-26,Direct,SaaS
2017-01-26,Organic,SaaS
2017-01-26,Referral,Health Care
2017-01-26,Email,Health Care
2017-01-26,Email,IT
2017-01-26,Paid,Education
2017-01-26,Direct,Education
2017-01-26,Referral,Retail/Entertainment
2017-01-26,Direct,Health Care
2017-01-26,Organic,Finance
2017-01-26,Social,Education
2017-01-26,Email,Education
2017-01-26,Direct,Finance
2017-01-26,Paid,Telecom
2017-01-26,Email,Retail/Entertainment
2017-01-26,Referral,Finance
2017-01-27,Paid,Retail/Entertainment
2017-01-27,Organic,Finance
2017-01-27,Direct,SaaS
2017-01-27,Social,Telecom
2017-01-27,Email,Finance
2017-01-27,Direct,Health Care
2017-01-27,Referral,Retail/Entertainment
2017-01-27,Social,Telecom
2017-01-27,Social,Finance
2017-01-27,Direct,Finance
2017-01-27,Referral,Finance
2017-01-27,Social,Telecom
2017-01-27,Direct,IT
2017-01-27,Referral,SaaS
2017-01-27,Organic,SaaS
2017-01-27,Direct,SaaS
2017-01-27,Email,Telecom
2017-01-27,Social,Telecom
2017-01-27,Direct,SaaS
2017-01-27,Email,Telecom
2017-01-27,Email,Finance
2017-01-27,Social,Telecom
2017-01-27,Email,SaaS
2017-01-27,Referral,Telecom
2017-01-27,Paid,Retail/Entertainment
2017-01-27,Email,Retail/Entertainment
2017-01-27,Email,Health Care
2017-01-27,Paid,Retail/Entertainment
2017-01-27,Email,SaaS
2017-01-27,Direct,SaaS
2017-01-27,Email,Telecom
2017-01-27,Referral,Finance
2017-01-27,Referral,Finance
2017-01-27,Organic,SaaS
2017-01-27,Organic,SaaS
2017-01-27,Organic,SaaS
2017-01-27,Email,Education
2017-01-27,Social,Education
2017-01-27,Email,Finance
2017-01-27,Paid,Health Care
2017-01-27,Social,Health Care
2017-01-27,Social,Health Care
2017-01-27,Direct,SaaS
2017-01-28,Direct,Education
2017-01-28,Social,Health Care
2017-01-28,Organic,Education
2017-01-28,Organic,Health Care
2017-01-28,Email,Retail/Entertainment
